Hunter Henry,"$15,500,000", NE
Trent Brown,"$12,213,235", NE
Davon Godchaux,"$10,500,000", NE
Deatrich Wise,"$8,700,000", NE
David Andrews,"$6,998,529", NE
Jonathan Jones,"$6,191,176", NE
Ja'Whaun Bentley,"$4,883,333", NE
JuJu Smith-Schuster,"$4,674,509", NE
Adrian Phillips,"$4,537,500", NE
Mike Gesicki,"$4,500,000", NE
Mac Jones,"$4,250,820", NE
DeVante Parker,"$3,686,666", NE
Kyle Dugger,"$3,647,891", NE
Lawrence Guy,"$3,573,529", NE
Jabrill Peppers,"$3,450,000", NE
Michael Onwenu,"$3,043,617", NE
Jalen Mills,"$2,919,118", NE
Ezekiel Elliott,"$2,900,000", NE
Cole Strange,"$2,785,448", NE
Myles Bryant,"$2,627,000", NE
Christian Barmore,"$2,324,255", NE
Jahlani Tavai,"$2,258,333", NE
Chris Board,"$2,102,500", NE
Josh Uche,"$1,714,789", NE
Tyquan Thornton,"$1,603,150", NE
Mack Wilson,"$1,600,000", NE
J.C. Jackson,"$1,555,556", NE
Joe Cardona,"$1,494,000", NE
Cody Davis,"$1,433,333", NE
Keion White,"$1,416,394", NE
Anfernee Jennings,"$1,390,195", NE
Ty Montgomery,"$1,380,000", NE
Matt Slater,"$1,317,500", NE
Rhamondre Stevenson,"$1,127,265", NE
Marte Mapu,"$1,011,583", NE
Jake Andrews,"$952,086", NE
Chad Ryland,"$946,687", NE
Sidy Sow,"$941,029", NE
Pharaoh Brown,"$940,000", NE
Shaun Wade,"$940,000", NE
Sam Roberts,"$912,869", NE
Brenden Schooler,"$875,000", NE
Bailey Zappe,"$870,000", NE
Vederian Lowe,"$870,000", NE
Atonio Mafi,"$833,885", NE
Kayshon Boutte,"$796,812", NE
Bryce Baringer,"$794,614", NE
Demario Douglas,"$783,333", NE
Jalen Reagor,"$617,222", NE
JaMycal Hasty,"$500,588", NE
Conor McDermott,"$420,000", NE
