Kyler Murray,ARI,"$51,407,000",51407000
D.J. Humphries,ARI,"$22,876,666",22876666
Budda Baker,ARI,"$18,525,000",18525000
Jalen Thompson,ARI,"$12,467,750",12467750
James Conner,ARI,"$8,930,000",8930000
Kyzir White,ARI,"$6,750,000",6750000
Paris Johnson Jr.,ARI,"$6,375,559",6375559
Will Hernandez,ARI,"$5,325,000",5325000
Matt Prater,ARI,"$4,750,000",4750000
Zaven Collins,ARI,"$4,674,172",4674172
Hjalte Froholdt,ARI,"$3,785,000",3785000
Dennis Gardeck,ARI,"$3,766,668",3766668
Zach Pascal,ARI,"$2,670,000",2670000
Kelvin Beachum,ARI,"$2,577,500",2577500
Rondale Moore,ARI,"$2,203,172",2203172
B.J. Ojulari,ARI,"$1,954,003",1954003
Dennis Daley,ARI,"$1,775,000",1775000
Trey McBride,ARI,"$1,718,089",1718089
Cameron Thomas,ARI,"$1,403,002",1403002
Garrett Williams,ARI,"$1,280,666",1280666
Michael Wilson,ARI,"$1,213,514",1213514
Jon Gaines,ARI,"$1,098,060",1098060
Victor Dimukeje,ARI,"$1,095,465",1095465
Andre Chachere,ARI,"$1,055,000",1055000
Roy Lopez,ARI,"$1,055,000",1055000
Naquan Jones,ARI,"$1,055,000",1055000
Phil Hoskins,ARI,"$1,055,000",1055000
Tony Jones,ARI,"$1,055,000",1055000
Jeff Smith,ARI,"$1,055,000",1055000
Michael Carter,ARI,"$1,055,000",1055000
Michael Ojemudia,ARI,"$1,055,000",1055000
Clayton Tune,ARI,"$1,002,656",1002656
Darren Hall,ARI,"$985,000",985000
Jesse Luketa,ARI,"$985,000",985000
Andre Baccellia,ARI,"$985,000",985000
Joey Blount,ARI,"$985,000",985000
Ben Stille,ARI,"$985,000",985000
Jackson Barton,ARI,"$985,000",985000
Owen Pappoe,ARI,"$976,245",976245
Kei'Trel Clark,ARI,"$967,150",967150
Dante Stills,ARI,"$948,333",948333
Emari Demercado,ARI,"$920,000",920000
Tyreek Maddox-Williams,ARI,"$915,000",915000
Blake Whiteheart,ARI,"$915,000",915000
Carter O'Donnell,ARI,"$915,000",915000
Verone McKinley,ARI,"$915,000",915000
Starling Thomas V,ARI,"$915,000",915000
Elijah Higgins,ARI,"$915,000",915000
Divaad Wilson,ARI,"$915,000",915000
Trevor Nowaske,ARI,"$915,000",915000
Travis Vokolek,ARI,"$915,000",915000
Tyreke Smith,ARI,"$915,000",915000
Qwuantrezz Knight,ARI,"$915,000",915000
Matt Hembrough,ARI,"$797,333",797333
Kaden Davis,ARI,"$795,000",795000
Bernhard Seikovits,ARI,"$795,000",795000
Marquis Hayes,ARI,"$795,000",795000
Quavian White,ARI,"$795,000",795000
Daniel Arias,ARI,"$795,000",795000
Kyler McMichael,ARI,"$795,000",795000
Austen Pleasants,ARI,"$795,000",795000
