Lamar Jackson,BAL,"$32,400,000",32400000
Ronnie Stanley,BAL,"$26,168,250",26168250
Marlon Humphrey,BAL,"$22,877,800",22877800
Marcus Williams,BAL,"$18,723,000",18723000
Mark Andrews,BAL,"$16,907,611",16907611
Roquan Smith,BAL,"$13,500,000",13500000
Tyus Bowser,BAL,"$7,500,000",7500000
Morgan Moses,BAL,"$6,960,000",6960000
Patrick Mekari,BAL,"$6,350,000",6350000
Justin Tucker,BAL,"$5,800,000",5800000
Patrick Ricard,BAL,"$5,155,000",5155000
Broderick Washington,BAL,"$4,540,000",4540000
Kyle Hamilton,BAL,"$4,433,206",4433206
Kevin Zeitler,BAL,"$4,268,000",4268000
Michael Pierce,BAL,"$4,072,000",4072000
Rashod Bateman,BAL,"$4,008,905",4008905
Odell Beckham Jr.,BAL,"$3,977,000",3977000
Tyler Linderbaum,BAL,"$3,610,444",3610444
Odafe Oweh,BAL,"$3,608,942",3608942
Zay Flowers,BAL,"$3,190,100",3190100
Justice Hill,BAL,"$2,970,588",2970588
David Ojabo,BAL,"$2,157,034",2157034
Gus Edwards,BAL,"$1,840,000",1840000
Nelson Agholor,BAL,"$1,668,000",1668000
Rock Ya-Sin,BAL,"$1,600,000",1600000
Ben Cleveland,BAL,"$1,500,460",1500460
Nick Moore,BAL,"$1,455,000",1455000
Travis Jones,BAL,"$1,447,271",1447271
Brandon Stephens,BAL,"$1,418,654",1418654
Trenton Simpson,BAL,"$1,228,296",1228296
Tylan Wallace,BAL,"$1,226,339",1226339
Daniel Faalele,BAL,"$1,185,085",1185085
Jalyn Armour-Davis,BAL,"$1,175,081",1175081
Charlie Kolar,BAL,"$1,161,220",1161220
Jordan Stout,BAL,"$1,159,458",1159458
Damarion Williams,BAL,"$1,111,084",1111084
Isaiah Likely,BAL,"$1,111,084",1111084
Tavius Robinson,BAL,"$1,095,141",1095141
Bravvion Roy,BAL,"$1,055,000",1055000
Christian Matthew,BAL,"$985,000",985000
Sala Aumavae-Laulu,BAL,"$958,298",958298
Andrew Vorhees,BAL,"$940,528",940528
Keaton Mitchell,BAL,"$921,000",921000
Malik Cunningham,BAL,"$915,000",915000
Josh Ross,BAL,"$915,000",915000
Malik Hamm,BAL,"$795,666",795666
Scotty Washington,BAL,"$795,000",795000
Rayshad Nichols,BAL,"$795,000",795000
Owen Wright,BAL,"$795,000",795000
Tykeem Doss,BAL,"$795,000",795000
Tashawn Manning,BAL,"$795,000",795000
Sean Ryan,BAL,"$795,000",795000
Tre Swilling,BAL,"$795,000",795000
Geno Stone,BAL,"$600,000",600000
