Josh Allen,BUF,"$47,056,281","47,056,281"
Stefon Diggs,BUF,"$27,854,000","27,854,000"
Von Miller,BUF,"$23,799,000","23,799,000"
Dion Dawkins,BUF,"$16,609,833","16,609,833"
Tre'Davious White,BUF,"$16,443,740","16,443,740"
Dawson Knox,BUF,"$14,300,000","14,300,000"
Matt Milano,BUF,"$12,437,000","12,437,000"
Taron Johnson,BUF,"$12,409,833","12,409,833"
Mitch Morse,BUF,"$11,500,000","11,500,000"
Rasul Douglas,BUF,"$9,973,529","9,973,529"
Ed Oliver,BUF,"$9,725,000","9,725,000"
Connor McGovern,BUF,"$7,900,000","7,900,000"
Jordan Poyer,BUF,"$7,720,000","7,720,000"
Deonte Harty,BUF,"$5,709,500","5,709,500"
Ryan Bates,BUF,"$5,439,000","5,439,000"
Nyheim Hines,BUF,"$5,160,000","5,160,000"
Tyler Bass,BUF,"$4,420,000","4,420,000"
Leonard Floyd,BUF,"$4,376,250","4,376,250"
Kaiir Elam,BUF,"$3,733,858","3,733,858"
Gregory Rousseau,BUF,"$3,693,515","3,693,515"
Siran Neal,BUF,"$3,413,334","3,413,334"
Micah Hyde,BUF,"$3,408,000","3,408,000"
Dalton Kincaid,BUF,"$3,051,600","3,051,600"
Reggie Gilliam,BUF,"$2,232,334","2,232,334"
Sam Martin,BUF,"$2,150,000","2,150,000"
DaQuan Jones,BUF,"$1,833,334","1,833,334"
James Cook,BUF,"$1,590,563","1,590,563"
Spencer Brown,BUF,"$1,511,736","1,511,736"
O'Cyrus Torrence,BUF,"$1,413,859","1,413,859"
Terrel Bernard,BUF,"$1,399,872","1,399,872"
Tim Settle,BUF,"$1,350,000","1,350,000"
Dorian Williams,BUF,"$1,223,365","1,223,365"
Reid Ferguson,BUF,"$1,212,500","1,212,500"
Tommy Doyle,BUF,"$1,133,933","1,133,933"
Damar Hamlin,BUF,"$1,095,119","1,095,119"
Khalil Shakir,BUF,"$1,071,788","1,071,788"
Tre' McKitty,BUF,"$1,059,000","1,059,000"
Darrynton Evans,BUF,"$1,055,000","1,055,000"
K.J. Hamler,BUF,"$1,055,000","1,055,000"
Christian Benford,BUF,"$1,033,570","1,033,570"
Shane Buechele,BUF,"$1,025,000","1,025,000"
Baylon Spector,BUF,"$1,010,932","1,010,932"
Justin Shorter,BUF,"$995,987","995,987"
Kyron Brown,BUF,"$994,000","994,000"
Andy Isabella,BUF,"$993,000","993,000"
Eli Ankou,BUF,"$992,500","992,500"
Kingsley Jonathan,BUF,"$986,750","986,750"
Ryan Van Demark,BUF,"$919,500","919,500"
Kameron Cline,BUF,"$919,500","919,500"
Alec Anderson,BUF,"$919,250","919,250"
Ja'Marcus Ingram,BUF,"$918,750","918,750"
Richard Gouraige,BUF,"$799,500","799,500"
Kevin Jarvis,BUF,"$799,500","799,500"
Tyrell Shavers,BUF,"$799,500","799,500"
Bryan Thompson,BUF,"$799,500","799,500"
Zach Davidson,BUF,"$799,500","799,500"
Kendall Williamson,BUF,"$797,500","797,500"
Tyler Matakevich,BUF,"$667,500","667,500"
