Taylor Moton,CAR,"$29,747,916",29747916
Donte Jackson,CAR,"$15,717,668",15717668
Derrick Brown,CAR,"$11,665,000",11665000
Vonn Bell,CAR,"$10,945,000",10945000
Austin Corbett,CAR,"$10,133,000",10133000
Adam Thielen,CAR,"$9,917,000",9917000
Hayden Hurst,CAR,"$9,915,490",9915490
Bryce Young,CAR,"$8,626,153",8626153
Shy Tuttle,CAR,"$8,306,666",8306666
Xavier Woods,CAR,"$7,759,168",7759168
Miles Sanders,CAR,"$7,695,000",7695000
Bradley Bozeman,CAR,"$7,640,000",7640000
Ikem Ekwonu,CAR,"$7,518,559",7518559
Jaycee Horn,CAR,"$6,717,501",6717501
Shaq Thompson,CAR,"$6,218,824",6218824
Ian Thomas,CAR,"$6,038,433",6038433
Andy Dalton,CAR,"$4,967,000",4967000
D.J. Chark,CAR,"$3,136,000",3136000
Johnny Hekker,CAR,"$2,733,668",2733668
Eddy Pineiro,CAR,"$2,545,000",2545000
Jonathan Mingo,CAR,"$2,012,865",2012865
Terrace Marshall Jr.,CAR,"$1,823,017",1823017
Brady Christensen,CAR,"$1,642,863",1642863
Tommy Tremble,CAR,"$1,567,502",1567502
D.J. Johnson,CAR,"$1,250,679",1250679
Chuba Hubbard,CAR,"$1,233,293",1233293
Sam Franklin,CAR,"$1,200,000",1200000
Chandler Zavala,CAR,"$1,107,934",1107934
Dicaprio Bootle,CAR,"$1,055,000",1055000
Mike Strachan,CAR,"$1,055,000",1055000
Stephen Sullivan,CAR,"$1,055,000",1055000
Amare Barno,CAR,"$1,031,352",1031352
Cade Mays,CAR,"$1,028,267",1028267
Jammie Robinson,CAR,"$997,383",997383
Chandler Wooten,CAR,"$985,000",985000
Tarik Cohen,CAR,"$985,000",985000
Nick Thurman,CAR,"$985,000",985000
A.J. Parker,CAR,"$985,000",985000
Lamar Jackson,CAR,"$985,000",985000
Jalen Camp,CAR,"$985,000",985000
Luiji Vilain,CAR,"$985,000",985000
Mike Boone,CAR,"$985,000",985000
Jordan Matthews,CAR,"$985,000",985000
Cam Sims,CAR,"$985,000",985000
Nash Jensen,CAR,"$923,333",923333
Ricky Lee,CAR,"$916,666",916666
Claudin Cherelus,CAR,"$915,000",915000
Ilm Manning,CAR,"$915,000",915000
Eku Leota,CAR,"$915,000",915000
LaBryan Ray,CAR,"$915,000",915000
J.D. DiRenzo,CAR,"$915,000",915000
Raequan Williams,CAR,"$915,000",915000
D'Shawn Jamison,CAR,"$915,000",915000
Alex Cook,CAR,"$915,000",915000
Spencer Brown,CAR,"$795,000",795000
Badara Traore,CAR,"$795,000",795000
Chris Pierce Jr.,CAR,"$795,000",795000
Shaquill Griffin,CAR,$0,0
