Montez Sweat,CHI,"$25,085,294",25085294
Tremaine Edmunds,CHI,"$22,437,500",22437500
Eddie Jackson,CHI,"$18,140,000",18140000
D.J. Moore,CHI,"$16,050,000",16050000
Cody Whitehair,CHI,"$13,250,000",13250000
Cole Kmet,CHI,"$11,600,000",11600000
Nate Davis,CHI,"$11,352,941",11352941
DeMarcus Walker,CHI,"$8,666,666",8666666
T.J. Edwards,CHI,"$7,500,000",7500000
Justin Fields,CHI,"$6,004,712",6004712
Darnell Wright,CHI,"$4,765,516",4765516
Cairo Santos,CHI,"$4,260,000",4260000
Andrew Billings,CHI,"$3,500,000",3500000
Teven Jenkins,CHI,"$2,668,861",2668861
Kyler Gordon,CHI,"$2,368,072",2368072
Travis Homer,CHI,"$2,110,294",2110294
Jaquan Brisker,CHI,"$2,006,057",2006057
Khari Blasingame,CHI,"$1,600,000",1600000
Gervon Dexter,CHI,"$1,528,121",1528121
Velus Jones Jr.,CHI,"$1,474,343",1474343
Tyrique Stevenson,CHI,"$1,465,796",1465796
Zacch Pickens,CHI,"$1,309,951",1309951
Larry Borom,CHI,"$1,138,269",1138269
Roschon Johnson,CHI,"$1,107,172",1107172
Khalil Herbert,CHI,"$1,087,676",1087676
Tyler Scott,CHI,"$1,080,862",1080862
Braxton Jones,CHI,"$1,059,887",1059887
Nsimba Webster,CHI,"$1,055,000",1055000
Greg Stroman,CHI,"$1,055,000",1055000
Dominique Robinson,CHI,"$1,053,288",1053288
Ja'Tyre Carter,CHI,"$1,012,328",1012328
Trenton Gill,CHI,"$1,004,253",1004253
Elijah Hicks,CHI,"$1,004,253",1004253
Noah Sewell,CHI,"$996,237",996237
Jack Sanborn,CHI,"$987,500",987500
Jaylon Jones,CHI,"$985,834",985834
Michael Dwumfour,CHI,"$985,000",985000
Corliss Waitman,CHI,"$985,000",985000
Stephen Carlson,CHI,"$985,000",985000
Adrian Colbert,CHI,"$985,000",985000
Aviante Collins,CHI,"$985,000",985000
Khalid Kareem,CHI,"$985,000",985000
Terell Smith,CHI,"$983,971",983971
Tyson Bagent,CHI,"$923,333",923333
Bill Murray,CHI,"$915,000",915000
Quindell Johnson,CHI,"$915,000",915000
Micah Baskerville,CHI,"$915,000",915000
Daniel Hardy,CHI,"$915,000",915000
Doug Kramer,CHI,"$915,000",915000
Roy Mbaeteka,CHI,"$795,000",795000
Douglas Coleman III,CHI,"$795,000",795000
Jerome Carvin,CHI,"$795,000",795000
Cameron Lyons,CHI,"$795,000",795000
