Joe Burrow,CIN,"$29,714,982",29714982
Trey Hendrickson,CIN,"$20,166,666",20166666
Orlando Brown,CIN,"$16,398,000",16398000
B.J. Hill,CIN,"$10,833,334",10833334
Sam Hubbard,CIN,"$10,120,588",10120588
Ja'Marr Chase,CIN,"$9,806,250",9806250
Alex Cappa,CIN,"$9,250,000",9250000
Joe Mixon,CIN,"$8,500,000",8500000
Mike Hilton,CIN,"$7,450,000",7450000
Ted Karras,CIN,"$7,400,000",7400000
Germaine Pratt,CIN,"$7,133,333",7133333
Logan Wilson,CIN,"$7,050,000",7050000
Nick Scott,CIN,"$4,300,000",4300000
Daxton Hill,CIN,"$3,181,914",3181914
Myles Murphy,CIN,"$2,860,740",2860740
Jackson Carman,CIN,"$2,370,442",2370442
Joseph Ossai,CIN,"$1,652,196",1652196
Cam Taylor-Britt,CIN,"$1,623,472",1623472
D.J. Turner,CIN,"$1,400,009",1400009
Zachary Carter,CIN,"$1,385,437",1385437
Cameron Sample,CIN,"$1,252,037",1252037
Jalen Davis,CIN,"$1,225,000",1225000
Jordan Battle,CIN,"$1,210,231",1210231
D'Ante Smith,CIN,"$1,179,836",1179836
Cordell Volson,CIN,"$1,149,220",1149220
Evan McPherson,CIN,"$1,140,929",1140929
Trey Hill,CIN,"$1,103,089",1103089
Chris Evans,CIN,"$1,098,222",1098222
Charlie Jones,CIN,"$1,084,694",1084694
Tycen Anderson,CIN,"$1,061,521",1061521
Jay Tufele,CIN,"$1,055,000",1055000
Chase Brown,CIN,"$986,539",986539
Devin Harper,CIN,"$985,000",985000
Andrei Iosivas,CIN,"$954,848",954848
Brad Robbins,CIN,"$948,333",948333
D.J. Ivey,CIN,"$935,164",935164
Kendric Pryor,CIN,"$915,000",915000
Shedrick Jackson,CIN,"$915,000",915000
Jeffrey Gunter,CIN,"$915,000",915000
Allan George,CIN,"$915,000",915000
Travis Bell,CIN,"$915,000",915000
Devonnsha Maxwell,CIN,"$803,333",803333
Domenique Davis,CIN,"$795,000",795000
Nathan Gilliam,CIN,"$795,000",795000
Shaka Heyward,CIN,"$795,000",795000
Jaxson Kirkland,CIN,"$795,000",795000
Kwamie Lassiter II,CIN,"$795,000",795000
Devin Cochran,CIN,"$795,000",795000
