Dak Prescott,DAL,"$59,455,000","59,455,000"
Zack Martin,DAL,"$28,500,000","28,500,000"
Demarcus Lawrence,DAL,"$20,445,000","20,445,000"
CeeDee Lamb,DAL,"$17,991,000","17,991,000"
Trevon Diggs,DAL,"$15,367,647","15,367,647"
Michael Gallup,DAL,"$13,850,000","13,850,000"
Terence Steele,DAL,"$11,000,000","11,000,000"
Brandin Cooks,DAL,"$10,000,000","10,000,000"
Donovan Wilson,DAL,"$7,370,588","7,370,588"
Tyron Smith,DAL,"$6,005,000","6,005,000"
Micah Parsons,DAL,"$5,434,479","5,434,479"
Trey Lance,DAL,"$5,310,717","5,310,717"
Leighton Vander Esch,DAL,"$4,397,059","4,397,059"
Malik Hooker,DAL,"$3,985,294","3,985,294"
Bryan Anger,DAL,"$3,800,000","3,800,000"
Tyler Smith,DAL,"$3,651,577","3,651,577"
Mazi Smith,DAL,"$3,016,976","3,016,976"
Cooper Rush,DAL,"$2,875,000","2,875,000"
Sam Williams,DAL,"$1,697,524","1,697,524"
Osa Odighizuwa,DAL,"$1,618,335","1,618,335"
Chauncey Golston,DAL,"$1,564,368","1,564,368"
Dorance Armstrong Jr.,DAL,"$1,500,000","1,500,000"
Nahshon Wright,DAL,"$1,437,821","1,437,821"
Luke Schoonmaker,DAL,"$1,424,245","1,424,245"
Jalen Tolbert,DAL,"$1,400,751","1,400,751"
DeMarvion Overshown,DAL,"$1,225,005","1,225,005"
Josh Ball,DAL,"$1,179,836","1,179,836"
Jake Ferguson,DAL,"$1,161,220","1,161,220"
Sheldrick Redwine,DAL,"$1,125,000","1,125,000"
Viliami Fehoko,DAL,"$1,087,689","1,087,689"
Israel Mukuamu,DAL,"$1,087,676","1,087,676"
DaRon Bland,DAL,"$1,061,197","1,061,197"
Damone Clark,DAL,"$1,045,639","1,045,639"
Matt Waletzko,DAL,"$995,873","995,873"
Markquese Bell,DAL,"$990,000","990,000"
Peyton Hendershot,DAL,"$990,000","990,000"
Kavontae Turpin,DAL,"$985,000","985,000"
Brock Hoffman,DAL,"$985,000","985,000"
Dakoda Shepley,DAL,"$985,000","985,000"
Racey McMath,DAL,"$985,000","985,000"
Malik Davis,DAL,"$985,000","985,000"
Martavis Bryant,DAL,"$985,000","985,000"
Asim Richards,DAL,"$976,245","976,245"
Eric Scott,DAL,"$969,577","969,577"
Deuce Vaughn,DAL,"$948,333","948,333"
Jalen Brooks,DAL,"$935,589","935,589"
Hunter Luepke,DAL,"$921,666","921,666"
David Durden,DAL,"$918,333","918,333"
T.J. Bass,DAL,"$918,333","918,333"
John Stephens,DAL,"$916,000","916,000"
Juanyeh Thomas,DAL,"$915,000","915,000"
Snoop Conner,DAL,"$915,000","915,000"
Brandon Aubrey,DAL,"$915,000","915,000"
Buddy Johnson,DAL,"$915,000","915,000"
Tyrus Wheat,DAL,"$915,000","915,000"
Princeton Fant,DAL,"$795,000","795,000"
Josh Butler,DAL,"$795,000","795,000"
Jalen Moreno-Cropper,DAL,"$795,000","795,000"
Earl Bostick Jr.,DAL,"$795,000","795,000"
Durrell Johnson,DAL,"$795,000","795,000"
