Russell Wilson,DEN,"$35,400,000",35400000
Garett Bolles,DEN,"$20,000,000",20000000
Zach Allen,DEN,"$19,000,000",19000000
Mike McGlinchey,DEN,"$18,500,000",18500000
Justin Simmons,DEN,"$18,250,000",18250000
Courtland Sutton,DEN,"$17,395,588",17395588
Tim Patrick,DEN,"$15,571,668",15571668
Ben Powers,DEN,"$15,250,000",15250000
Jerry Jeudy,DEN,"$12,987,000",12987000
D.J. Jones,DEN,"$12,958,334",12958334
Alex Singleton,DEN,"$7,333,333",7333333
Jarrett Stidham,DEN,"$7,000,000",7000000
Patrick Surtain II,DEN,"$6,669,983",6669983
Samaje Perine,DEN,"$4,500,000",4500000
Chris Manhertz,DEN,"$3,245,000",3245000
Tremon Smith,DEN,"$3,200,000",3200000
Javonte Williams,DEN,"$2,820,922",2820922
Riley Dixon,DEN,"$2,035,000",2035000
Nik Bonitto,DEN,"$1,582,333",1582333
Quinn Meinerz,DEN,"$1,453,376",1453376
Greg Dulcich,DEN,"$1,434,311",1434311
Baron Browning,DEN,"$1,412,696",1412696
Marvin Mims,DEN,"$1,379,235",1379235
Drew Sanders,DEN,"$1,303,348",1303348
Riley Moss,DEN,"$1,238,066",1238066
Damarri Mathis,DEN,"$1,179,740",1179740
Eyioma Uwazurike,DEN,"$1,176,468",1176468
Caden Sterns,DEN,"$1,137,646",1137646
Jonathon Cooper,DEN,"$1,080,168",1080168
Delarrin Turner-Yell,DEN,"$1,068,262",1068262
Luke Wattenberg,DEN,"$1,056,929",1056929
Rashard Lawrence,DEN,"$1,055,000",1055000
David Sills,DEN,"$1,055,000",1055000
Matt Henningsen,DEN,"$1,025,520",1025520
Ronnie Perkins,DEN,"$985,000",985000
Mitchell Fraboni,DEN,"$985,000",985000
Brandon Johnson,DEN,"$985,000",985000
Ben DiNucci,DEN,"$985,000",985000
Elijah Garcia,DEN,"$985,000",985000
Phillip Dorsett,DEN,"$985,000",985000
J.L. Skinner,DEN,"$964,056",964056
Alex Forsyth,DEN,"$934,446",934446
Tanner McCalister,DEN,"$925,000",925000
Thomas Incoom,DEN,"$921,666",921666
Jaleel McLaughlin,DEN,"$920,000",920000
Jalen Virgil,DEN,"$919,168",919168
Nate Adkins,DEN,"$918,333",918333
Michael Bandy,DEN,"$915,000",915000
Ja'Quan McMillian,DEN,"$915,000",915000
Lucas Krull,DEN,"$915,000",915000
Alex Palczewski,DEN,"$801,666",801666
Demontrey Jacobs,DEN,"$795,000",795000
Reese Taylor,DEN,"$795,000",795000
Keidron Smith,DEN,"$795,000",795000
William Sherman,DEN,"$795,000",795000
Tyler Badie,DEN,"$795,000",795000
Devon Key,DEN,"$795,000",795000
Jordan Jackson,DEN,"$795,000",795000
Art Green,DEN,"$795,000",795000
Durell Nchami,DEN,"$795,000",795000
