David Bakhtiari,GB,"$40,018,311",40018311
Kenny Clark,GB,"$27,490,000",27490000
Jaire Alexander,GB,"$23,981,647",23981647
Aaron Jones,GB,"$17,028,824",17028824
Preston Smith,GB,"$16,507,000",16507000
Rashan Gary,GB,"$15,927,385",15927385
Elgton Jenkins,GB,"$14,429,412",14429412
De'Vondre Campbell,GB,"$14,230,529",14230529
Jordan Love,GB,"$12,757,731",12757731
Darnell Savage Jr.,GB,"$5,456,800",5456800
Lukas Van Ness,GB,"$3,951,840",3951840
Eric Stokes,GB,"$3,794,482",3794482
Quay Walker,GB,"$3,774,994",3774994
Devonte Wyatt,GB,"$3,507,595",3507595
Yosuah Nijman,GB,"$2,543,200",2543200
Christian Watson,GB,"$2,520,280",2520280
Luke Musgrave,GB,"$1,926,305",1926305
Josh Myers,GB,"$1,775,500",1775500
Jayden Reed,GB,"$1,631,995",1631995
Keisean Nixon,GB,"$1,480,000",1480000
Sean Rhyan,GB,"$1,378,273",1378273
Tucker Kraft,GB,"$1,258,621",1258621
Royce Newman,GB,"$1,179,836",1179836
Romeo Doubs,GB,"$1,155,979",1155979
Tedarrell Slaton,GB,"$1,125,130",1125130
Matt Orzech,GB,"$1,125,000",1125000
Zach Tom,GB,"$1,111,084",1111084
Colby Wooden,GB,"$1,106,982",1106982
Isaiah McDuffie,GB,"$1,087,676",1087676
Zayne Anderson,GB,"$1,055,000",1055000
Kingsley Enagbare,GB,"$1,045,639",1045639
Rasheed Walker,GB,"$1,005,219",1005219
Samori Toure,GB,"$1,004,253",1004253
Sean Clifford,GB,"$996,045",996045
Dontayvion Wicks,GB,"$990,636",990636
Luke Tenuta,GB,"$985,000",985000
Karl Brooks,GB,"$968,007",968007
Anders Carlson,GB,"$954,194",954194
Carrington Valentine,GB,"$940,165",940165
Anthony Johnson Jr.,GB,"$935,941",935941
Brenton Cox Jr.,GB,"$918,000",918000
Malik Heath,GB,"$918,000",918000
Zyon Gilbert,GB,"$915,000",915000
Bo Melton,GB,"$915,000",915000
Jonathan Ford,GB,"$915,000",915000
Alex McGough,GB,"$915,000",915000
Arron Mosby,GB,"$915,000",915000
Ben Sims,GB,"$915,000",915000
Benny Sapp III,GB,"$915,000",915000
Joel Wilson,GB,"$795,000",795000
Kadeem Telfort,GB,"$795,000",795000
Thyrick Pitts,GB,"$795,000",795000
Deslin Alexandre,GB,"$795,000",795000
Henry Pearson,GB,"$795,000",795000
Ellis Merriweather,GB,"$795,000",795000
Kenneth Odumegwu,GB,"$795,000",795000
Grant DuBose,GB,"$795,000",795000
Anthony Johnson,GB,"$795,000",795000
Tyler Coyle,GB,"$795,000",795000
Keshawn Banks,GB,"$795,000",795000
Christian Young,GB,"$795,000",795000
Deandre Johnson,GB,"$795,000",795000
Jack Podlesny,GB,"$795,000",795000
