Laremy Tunsil,HOU,"$25,900,000","25,900,000"
Tytus Howard,HOU,"$19,000,000","19,000,000"
Maliek Collins,HOU,"$13,500,000","13,500,000"
Shaquille Mason,HOU,"$12,300,000","12,300,000"
Robert Woods,HOU,"$9,750,000","9,750,000"
Derek Stingley Jr.,HOU,"$9,452,050","9,452,050"
C.J. Stroud,HOU,"$8,245,283","8,245,283"
Will Anderson Jr.,HOU,"$8,002,913","8,002,913"
Jimmie Ward,HOU,"$8,000,000","8,000,000"
Sheldon Rankins,HOU,"$5,250,000","5,250,000"
Kenyon Green,HOU,"$4,350,929","4,350,929"
Andrew Beck,HOU,"$3,720,588","3,720,588"
M.J. Stewart,HOU,"$3,500,000","3,500,000"
Case Keenum,HOU,"$3,375,000","3,375,000"
Dalton Schultz,HOU,"$3,375,000","3,375,000"
Davis Mills,HOU,"$3,281,473","3,281,473"
Nico Collins,HOU,"$3,217,730","3,217,730"
Jalen Pitre,HOU,"$2,442,119","2,442,119"
John Metchie III,HOU,"$2,200,957","2,200,957"
Jerry Hughes,HOU,"$2,140,000","2,140,000"
Ka'imi Fairbairn,HOU,"$1,599,111","1,599,111"
Christian Harris,HOU,"$1,458,616","1,458,616"
Juice Scruggs,HOU,"$1,386,161","1,386,161"
Kendrick Green,HOU,"$1,324,878","1,324,878"
Tank Dell,HOU,"$1,292,978","1,292,978"
Dameon Pierce,HOU,"$1,188,858","1,188,858"
Myjai Sanders,HOU,"$1,163,628","1,163,628"
Jon Weeks,HOU,"$1,152,500","1,152,500"
Brevin Jordan,HOU,"$1,143,046","1,143,046"
Steven Nelson,HOU,"$1,134,000","1,134,000"
Dylan Horton,HOU,"$1,115,261","1,115,261"
Teagan Quitoriano,HOU,"$1,059,037","1,059,037"
Ka'dar Hollman,HOU,"$1,055,000","1,055,000"
Kurt Hinish,HOU,"$993,334","993,334"
Jake Hansen,HOU,"$987,500","987,500"
Tim Boyle,HOU,"$985,000","985,000"
J.J. Taylor,HOU,"$985,000","985,000"
McTelvin Agim,HOU,"$985,000","985,000"
Alex Bachman,HOU,"$985,000","985,000"
Henry To'oTo'o,HOU,"$976,245","976,245"
Jarrett Patterson,HOU,"$957,494","957,494"
Xavier Hutchinson,HOU,"$955,925","955,925"
Troy Hairston II,HOU,"$923,334","923,334"
"Troy Pride, Jr.",HOU,"$915,000","915,000"
Nick Broeker,HOU,"$915,000","915,000"
Josh Thompson,HOU,"$915,000","915,000"
Dalton Keene,HOU,"$915,000","915,000"
Jesse Matthews,HOU,"$798,333","798,333"
Kilian Zierer,HOU,"$798,333","798,333"
Gerrid Doaks,HOU,"$795,000","795,000"
Jaylon Thomas,HOU,"$795,000","795,000"
Jared Wayne,HOU,"$795,000","795,000"
Ali Gaye,HOU,"$795,000","795,000"
Johnny Johnson III,HOU,"$795,000","795,000"
Brandon Hill,HOU,"$795,000","795,000"
Derek Barnett,HOU,$0,0
