Christian Kirk,JAX,"$24,236,941",24236941
Brandon Scherff,JAX,"$23,967,000",23967000
Foyesade Oluokun,JAX,"$21,750,668",21750668
Cam Robinson,JAX,"$21,168,301",21168301
Folorunso Fatukasi,JAX,"$12,787,922",12787922
Rayshawn Jenkins,JAX,"$12,564,000",12564000
Trevor Lawrence,JAX,"$11,707,018",11707018
Darious Williams,JAX,"$11,500,000",11500000
Zay Jones,JAX,"$10,752,628",10752628
Travon Walker,JAX,"$10,192,534",10192534
Evan Engram,JAX,"$7,000,000",7000000
Davon Hamilton,JAX,"$5,655,294",5655294
Roy Robertson-Harris,JAX,"$4,800,000",4800000
Travis Etienne,JAX,"$4,103,945",4103945
Tyson Campbell,JAX,"$4,071,110",4071110
Devin Lloyd,JAX,"$3,528,166",3528166
Andrew Wingard,JAX,"$3,370,000",3370000
Andre Cisco,JAX,"$3,284,090",3284090
Anton Harrison,JAX,"$2,999,664",2999664
Logan Cooke,JAX,"$2,600,000",2600000
Walker Little,JAX,"$2,425,087",2425087
C.J. Beathard,JAX,"$2,420,000",2420000
Adam Gotsis,JAX,"$1,565,000",1565000
Luke Fortner,JAX,"$1,500,017",1500017
Chad Muma,JAX,"$1,479,850",1479850
Brenton Strange,JAX,"$1,389,623",1389623
Ross Matiscik,JAX,"$1,235,000",1235000
Tank Bigsby,JAX,"$1,225,663",1225663
Luke Farrell,JAX,"$1,144,505",1144505
Tyler Lacy,JAX,"$1,086,780",1086780
Montaric Brown,JAX,"$1,013,995",1013995
Yasir Abdullah,JAX,"$1,006,304",1006304
Antonio Johnson,JAX,"$990,458",990458
Tevaughn Campbell,JAX,"$985,000",985000
Chandler Brewer,JAX,"$985,000",985000
Amani Oruwariye,JAX,"$985,000",985000
Keaton Sutherland,JAX,"$985,000",985000
Ventrell Miller,JAX,"$979,234",979234
Parker Washington,JAX,"$963,066",963066
Christian Braswell,JAX,"$956,899",956899
Cooper Hodges,JAX,"$941,373",941373
Elijah Cooks,JAX,"$918,333",918333
Josh Pederson,JAX,"$915,000",915000
Esezi Otomewo,JAX,"$915,000",915000
De'Shaan Dixon,JAX,"$915,000",915000
Darryl Williams,JAX,"$795,000",795000
Ayo Oyelola,JAX,"$795,000",795000
D.J. Coleman,JAX,"$795,000",795000
Seth Williams,JAX,"$795,000",795000
Erick Hallett,JAX,"$795,000",795000
Dequan Jackson,JAX,"$795,000",795000
