Patrick Mahomes,KC,"$57,358,269",57358269
Joe Thuney,KC,"$26,971,713",26971713
Jawaan Taylor,KC,"$24,725,000",24725000
Travis Kelce,KC,"$15,463,709",15463709
Justin Reid,KC,"$14,250,000",14250000
Marquez Valdes-Scantling,KC,"$14,000,000",14000000
Charles Omenihu,KC,"$10,970,000",10970000
Harrison Butker,KC,"$4,568,797",4568797
Trent McDuffie,KC,"$3,816,132",3816132
Chris Jones,KC,"$3,400,080",3400080
George Karlaftis,KC,"$3,255,130",3255130
Felix Anudike-Uzomah,KC,"$2,685,868",2685868
Kadarius Toney,KC,"$2,530,842",2530842
Justin Watson,KC,"$2,120,000",2120000
Nick Bolton,KC,"$1,856,286",1856286
Creed Humphrey,KC,"$1,770,748",1770748
Skyy Moore,KC,"$1,759,229",1759229
Bryan Cook,KC,"$1,594,675",1594675
Rashee Rice,KC,"$1,476,186",1476186
Leo Chenal,KC,"$1,375,883",1375883
Lucas Niang,KC,"$1,321,668",1321668
Wanya Morris,KC,"$1,220,080",1220080
Joshua Williams,KC,"$1,151,565",1151565
Noah Gray,KC,"$1,133,445",1133445
Chamarri Conner,KC,"$1,102,841",1102841
Trey Smith,KC,"$1,087,676",1087676
La'Mical Perine,KC,"$1,055,000",1055000
Kelvin Joseph,KC,"$1,055,000",1055000
Jaylen Watson,KC,"$1,006,342",1006342
Isiah Pacheco,KC,"$1,004,777",1004777
Anthony Miller,KC,"$985,000",985000
Ian Book,KC,"$985,000",985000
Shi Smith,KC,"$985,000",985000
Neil Farrell Jr.,KC,"$985,000",985000
B.J. Thompson,KC,"$982,912",982912
Nic Jones,KC,"$934,446",934446
Cam Jones,KC,"$920,000",920000
Jordan Smith,KC,"$915,000",915000
Ekow Boye-Doe,KC,"$915,000",915000
Justyn Ross,KC,"$915,000",915000
Nikko Remigio,KC,"$800,000",800000
Hassan Hall,KC,"$795,000",795000
Jacob Copeland,KC,"$795,000",795000
Mecole Hardman,KC,$0,0
