Jimmy Garoppolo,LV,"$28,337,000",28337000
Davante Adams,LV,"$25,350,000",25350000
Maxx Crosby,LV,"$24,483,250",24483250
Kolton Miller,LV,"$15,680,998",15680998
Hunter Renfrow,LV,"$13,718,000",13718000
Jakobi Meyers,LV,"$13,602,333",13602333
Marcus Epps,LV,"$7,292,500",7292500
Tyree Wilson,LV,"$5,683,068",5683068
Robert Spillane,LV,"$5,300,000",5300000
Daniel Carlson,LV,"$4,650,000",4650000
Jerry Tillery,LV,"$4,175,000",4175000
A.J. Cole,LV,"$3,517,000",3517000
Brandon Facyson,LV,"$2,956,000",2956000
Brian Hoyer,LV,"$2,695,000",2695000
Trevon Moehrig,LV,"$2,512,049",2512049
Michael Mayer,LV,"$2,116,736",2116736
Malcolm Koonce,LV,"$1,590,260",1590260
Divine Deablo,LV,"$1,584,812",1584812
Andre James,LV,"$1,440,000",1440000
Dylan Parham,LV,"$1,399,481",1399481
Byron Young,LV,"$1,288,343",1288343
Tre Tucker,LV,"$1,205,473",1205473
Zamir White,LV,"$1,170,981",1170981
Nate Hobbs,LV,"$1,130,763",1130763
Zach Gentry,LV,"$1,125,000",1125000
Jacob Bobenmoyer,LV,"$1,125,000",1125000
Jakorian Bennett,LV,"$1,120,897",1120897
Aidan O'Connell,LV,"$1,042,345",1042345
Thayer Munford,LV,"$1,009,265",1009265
Brittain Brown,LV,"$1,004,964",1004964
Darien Butler,LV,"$990,000",990000
Luke Masterson,LV,"$988,334",988334
Elerson Smith,LV,"$985,000",985000
Sam Webb,LV,"$985,000",985000
Kristian Wilkerson,LV,"$985,000",985000
Janarius Robinson,LV,"$985,000",985000
D.J. Turner,LV,"$985,000",985000
Jack Jones,LV,"$985,000",985000
D.J. Fluker,LV,"$985,000",985000
Cornell Armstrong,LV,"$985,000",985000
Christopher Smith,LV,"$976,245",976245
Amari Burney,LV,"$956,279",956279
Dalton Wagner,LV,"$923,333",923333
Nesta Jade Silvera,LV,"$915,000",915000
Anthony Brown,LV,"$915,000",915000
Ben Brown,LV,"$915,000",915000
Marquan McCall,LV,"$915,000",915000
Matthew Butler,LV,"$915,000",915000
David Ebuka Agoha,LV,"$795,000",795000
Cole Fotheringham,LV,"$795,000",795000
Sincere McCormick,LV,"$795,000",795000
Jaydon Grant,LV,"$795,000",795000
Jalen McKenzie,LV,"$795,000",795000
John Samuel Shenker,LV,"$795,000",795000
Charles Snowden,LV,"$795,000",795000
Tyreque Jones,LV,"$795,000",795000
Tyreik McAllister,LV,"$795,000",795000
