Derek Carr,NO,"$35,700,000",35700000
Ryan Ramczyk,NO,"$27,025,321",27025321
Cameron Jordan,NO,"$23,284,250",23284250
Alvin Kamara,NO,"$18,759,353",18759353
Demario Davis,NO,"$18,193,000",18193000
Taysom Hill,NO,"$15,789,000",15789000
Marshon Lattimore,NO,"$14,616,317",14616317
Erik McCoy,NO,"$13,700,000",13700000
Andrus Peat,NO,"$13,638,000",13638000
Carl Granderson,NO,"$12,450,000",12450000
Michael Thomas,NO,"$12,403,588",12403588
Tyrann Mathieu,NO,"$12,067,000",12067000
Cesar Ruiz,NO,"$10,850,000",10850000
Marcus Maye,NO,"$9,649,294",9649294
Juwan Johnson,NO,"$7,000,000",7000000
James Hurst,NO,"$6,511,000",6511000
Chris Olave,NO,"$5,255,965",5255965
Nathan Shepherd,NO,"$5,100,000",5100000
Jamaal Williams,NO,"$4,630,000",4630000
Jameis Winston,NO,"$4,577,000",4577000
Khalen Saunders,NO,"$4,400,000",4400000
Foster Moreau,NO,"$4,367,059",4367059
Payton Turner,NO,"$3,985,143",3985143
Trevor Penning,NO,"$3,857,268",3857268
J.T. Gray,NO,"$3,480,000",3480000
Tanoh Kpassagnon,NO,"$3,303,000",3303000
Bryan Bresee,NO,"$2,787,171",2787171
Isaiah Foskey,NO,"$1,985,164",1985164
Alontae Taylor,NO,"$1,964,917",1964917
Pete Werner,NO,"$1,808,763",1808763
Paulson Adebo,NO,"$1,605,231",1605231
Zach Wood,NO,"$1,410,000",1410000
Monty Rice,NO,"$1,321,209",1321209
Kendre Miller,NO,"$1,285,071",1285071
Nick Saldiveri,NO,"$1,125,570",1125570
Landon Young,NO,"$1,097,445",1097445
Jake Haener,NO,"$1,091,203",1091203
D'Marco Jackson,NO,"$1,064,229",1064229
James Robinson,NO,"$1,055,000",1055000
Jordan Howden,NO,"$996,682",996682
Tommy Kraemer,NO,"$985,000",985000
Nephi Sewell,NO,"$985,000",985000
John Penisini,NO,"$985,000",985000
A.T. Perry,NO,"$959,091",959091
Lou Hedley,NO,"$916,666",916666
Blake Grupe,NO,"$915,833",915833
Tommy Hudson,NO,"$915,000",915000
Niko Lalos,NO,"$915,000",915000
Jack Heflin,NO,"$915,000",915000
Michael Jacobson,NO,"$795,000",795000
Rejzohn Wright,NO,"$795,000",795000
Faion Hicks,NO,"$795,000",795000
Mark Evans II,NO,"$795,000",795000
Jordan Mims,NO,"$795,000",795000
Anfernee Orji,NO,"$795,000",795000
