C.J. Mosley,NYJ,"$21,476,000","21,476,000"
Quinnen Williams,NYJ,"$20,400,000","20,400,000"
Laken Tomlinson,NYJ,"$18,880,000","18,880,000"
Aaron Rodgers,NYJ,"$17,161,112","17,161,112"
John Franklin-Myers,NYJ,"$16,364,000","16,364,000"
D.J. Reed,NYJ,"$15,636,176","15,636,176"
Allen Lazard,NYJ,"$12,184,000","12,184,000"
C.J. Uzomah,NYJ,"$11,221,668","11,221,668"
Zach Wilson,NYJ,"$11,184,307","11,184,307"
Tyler Conklin,NYJ,"$9,338,334","9,338,334"
Ahmad Gardner,NYJ,"$9,122,945","9,122,945"
Quincy Williams,NYJ,"$7,150,000","7,150,000"
Carl Lawson,NYJ,"$6,300,000","6,300,000"
Garrett Wilson,NYJ,"$5,605,638","5,605,638"
Alijah Vera-Tucker,NYJ,"$5,054,329","5,054,329"
Duane Brown,NYJ,"$4,728,000","4,728,000"
Will McDonald IV,NYJ,"$3,709,469","3,709,469"
Jermaine Johnson II,NYJ,"$3,569,303","3,569,303"
Jordan Whitehead,NYJ,"$3,300,000","3,300,000"
Breece Hall,NYJ,"$2,458,573","2,458,573"
Wes Schweitzer,NYJ,"$2,028,235","2,028,235"
Joe Tippmann,NYJ,"$1,899,910","1,899,910"
Quinton Jefferson,NYJ,"$1,540,000","1,540,000"
Thomas Hennessy,NYJ,"$1,385,000","1,385,000"
Jeremy Ruckert,NYJ,"$1,375,883","1,375,883"
Max Mitchell,NYJ,"$1,184,007","1,184,007"
Micheal Clemons,NYJ,"$1,176,024","1,176,024"
Jamien Sherwood,NYJ,"$1,143,714","1,143,714"
Michael Carter II,NYJ,"$1,137,232","1,137,232"
Carter Warren,NYJ,"$1,101,080","1,101,080"
Brandin Echols,NYJ,"$1,098,548","1,098,548"
Tae Hayes,NYJ,"$1,055,000","1,055,000"
Malik Taylor,NYJ,"$1,055,000","1,055,000"
Nick Bawden,NYJ,"$1,055,000","1,055,000"
Bruce Hector,NYJ,"$1,055,000","1,055,000"
Israel Abanikanda,NYJ,"$999,095","999,095"
Tony Adams,NYJ,"$988,334","988,334"
Xavier Newman-Johnson,NYJ,"$985,000","985,000"
Chazz Surratt,NYJ,"$985,000","985,000"
Tanzel Smart,NYJ,"$985,000","985,000"
Austin Seibert,NYJ,"$985,000","985,000"
Zaire Barnes,NYJ,"$963,392","963,392"
Jarrick Bernard-Converse,NYJ,"$956,096","956,096"
Jason Brownlee,NYJ,"$925,000","925,000"
Xavier Gipson,NYJ,"$920,000","920,000"
Irvin Charles,NYJ,"$915,000","915,000"
Lance McCutcheon,NYJ,"$915,000","915,000"
Jacques Patrick,NYJ,"$915,000","915,000"
Marquiss Spencer,NYJ,"$915,000","915,000"
Manny Jones,NYJ,"$915,000","915,000"
Marcelino McCrary-Ball,NYJ,"$915,000","915,000"
Chris Glaser,NYJ,"$915,000","915,000"
Maalik Hall,NYJ,"$797,500","797,500"
Zack Kuntz,NYJ,"$795,000","795,000"
Obinna Eze,NYJ,"$795,000","795,000"
Vitaliy Gurman,NYJ,"$795,000","795,000"
Xazavian Valladay,NYJ,"$795,000","795,000"
