Geno Smith,SEA,"$31,200,000","31,200,000"
Jamal Adams,SEA,"$26,916,666","26,916,666"
Tyler Lockett,SEA,"$26,895,000","26,895,000"
D.K. Metcalf,SEA,"$24,500,000","24,500,000"
Quandre Diggs,SEA,"$21,262,500","21,262,500"
Dre'Mont Jones,SEA,"$18,176,666","18,176,666"
Will Dissly,SEA,"$10,070,000","10,070,000"
Julian Love,SEA,"$8,090,000","8,090,000"
Uchenna Nwosu,SEA,"$7,813,333","7,813,333"
Devon Witherspoon,SEA,"$7,241,171","7,241,171"
Jarran Reed,SEA,"$5,940,000","5,940,000"
Bryan Mone,SEA,"$5,890,000","5,890,000"
Charles Cross,SEA,"$5,831,898","5,831,898"
Jason Myers,SEA,"$5,510,000","5,510,000"
Nick Bellore,SEA,"$4,000,000","4,000,000"
Michael Dickson,SEA,"$3,850,000","3,850,000"
Jaxon Smith-Njigba,SEA,"$3,276,661","3,276,661"
Boye Mafe,SEA,"$2,335,162","2,335,162"
Kenneth Walker III,SEA,"$2,302,249","2,302,249"
Derick Hall,SEA,"$2,071,728","2,071,728"
D'Wayne Eskridge,SEA,"$1,894,329","1,894,329"
Zach Charbonnet,SEA,"$1,562,745","1,562,745"
Abraham Lucas,SEA,"$1,470,456","1,470,456"
Tre Brown,SEA,"$1,215,166","1,215,166"
Coby Bryant,SEA,"$1,186,952","1,186,952"
Anthony Bradford,SEA,"$1,115,997","1,115,997"
Cameron Young,SEA,"$1,096,877","1,096,877"
Stone Forsythe,SEA,"$1,096,656","1,096,656"
Tariq Woolen,SEA,"$1,068,054","1,068,054"
Dareke Young,SEA,"$1,010,275","1,010,275"
Mike Morris,SEA,"$995,519","995,519"
Olusegun Oluwatimi,SEA,"$994,115","994,115"
Jerrick Reed,SEA,"$958,700","958,700"
Kenny McIntosh,SEA,"$937,713","937,713"
Jake Bobo,SEA,"$918,333","918,333"
Chris Stoll,SEA,"$917,166","917,166"
Tyler Mabry,SEA,"$915,000","915,000"
Easop Winston,SEA,"$915,000","915,000"
Drake Thomas,SEA,"$915,000","915,000"
Patrick O'Connell,SEA,"$915,000","915,000"
Ty Okada,SEA,"$915,000","915,000"
Cody White,SEA,"$915,000","915,000"
LaTrell Bumphus,SEA,"$795,000","795,000"
Andrew Whitaker,SEA,"$795,000","795,000"
Levi Bell,SEA,"$795,000","795,000"
Matthew Gotel,SEA,"$795,000","795,000"
Bryant Koback,SEA,"$795,000","795,000"
Jonathan Sutherland,SEA,"$795,000","795,000"
Leonard Williams,SEA,$0,0
