Chris Godwin,TB,"$27,534,000","27,534,000"
Vita Vea,TB,"$20,965,063","20,965,063"
Carlton Davis,TB,"$20,370,275","20,370,275"
Tristan Wirfs,TB,"$18,606,582","18,606,582"
Jamel Dean,TB,"$14,666,353","14,666,353"
Shaquil Barrett,TB,"$14,190,882","14,190,882"
Russell Gage,TB,"$13,350,668","13,350,668"
Mike Evans,TB,"$12,198,000","12,198,000"
Ryan Jensen,TB,"$5,977,000","5,977,000"
Anthony Nelson,TB,"$5,384,000","5,384,000"
Joe Tryon-Shoyinka,TB,"$3,554,487","3,554,487"
Calijah Kancey,TB,"$3,293,971","3,293,971"
Lavonte David,TB,"$2,668,000","2,668,000"
Logan Hall,TB,"$2,540,851","2,540,851"
Baker Mayfield,TB,"$2,300,000","2,300,000"
Greg Gaines,TB,"$1,900,000","1,900,000"
Kyle Trask,TB,"$1,761,243","1,761,243"
Cody Mauch,TB,"$1,701,243","1,701,243"
Luke Goedeke,TB,"$1,685,178","1,685,178"
"Antoine Winfield, Jr.",TB,"$1,586,400","1,586,400"
Robert Hainsey,TB,"$1,490,851","1,490,851"
Rachaad White,TB,"$1,399,091","1,399,091"
YaYa Diaby,TB,"$1,242,139","1,242,139"
Cade Otton,TB,"$1,193,485","1,193,485"
Jake Camarda,TB,"$1,155,079","1,155,079"
K.J. Britt,TB,"$1,121,574","1,121,574"
Zyon McCollum,TB,"$1,065,433","1,065,433"
Logan Stenberg,TB,"$1,055,000","1,055,000"
Richard LeCounte,TB,"$1,055,000","1,055,000"
Patrick Laird,TB,"$1,055,000","1,055,000"
Matt Feiler,TB,"$1,032,000","1,032,000"
Ko Kieft,TB,"$1,018,003","1,018,003"
SirVocea Dennis,TB,"$994,332","994,332"
J.J. Russell,TB,"$985,000","985,000"
David Wells,TB,"$985,000","985,000"
Payne Durham,TB,"$976,245","976,245"
Josh Hayes,TB,"$966,094","966,094"
Trey Palmer,TB,"$959,824","959,824"
Rakim Jarrett,TB,"$923,333","923,333"
Kaevon Merriweather,TB,"$920,000","920,000"
Christian Izien,TB,"$918,333","918,333"
Sean Tucker,TB,"$916,666","916,666"
Markees Watts,TB,"$915,333","915,333"
Mike Greene,TB,"$915,000","915,000"
Raleigh Webb,TB,"$915,000","915,000"
Keenan Isaac,TB,"$915,000","915,000"
Cephus Johnson,TB,"$795,000","795,000"
Lwal Uguak,TB,"$795,000","795,000"
Luke Haggard,TB,"$795,000","795,000"
Ryan Miller,TB,"$795,000","795,000"
Jose Ramirez,TB,"$795,000","795,000"
Tanner Taula,TB,"$795,000","795,000"
Silas Dzansi,TB,"$795,000","795,000"
Quandre Mosely,TB,"$795,000","795,000"
C.J. Brewer,TB,"$795,000","795,000"
